"numero","id_bling","dataVenda","dataPedido","qtde_itens","custo","totalVenda","taxaLoja","CMV"
"43482","21484280340","2024-11-04","2024-11-04","0","9.11","19.94","40.07","45.68"
"43518","21491046701","2024-11-05","2024-11-05","0","9.11","19.94","40.07","45.68"
"43650","21517253074","2024-11-08","2024-11-08","0","9.11","19.94","40.07","45.68"
"43746","21532342822","2024-11-11","2024-11-11","1","9.11","19.94","40.07","45.68"
"43769","21538234460","2024-11-11","2024-11-11","1","9.11","19.94","40.07","45.68"
"43792","21541226330","2024-11-11","2024-11-11","1","9.11","19.94","40.07","45.68"
"43802","21542229037","2024-11-11","2024-11-11","1","9.11","19.94","40.07","45.68"
"43856","21555367150","2024-11-13","2024-11-13","1","9.11","19.94","40.07","45.68"
"43917","21570670759","2024-11-14","2024-11-14","1","9.11","19.94","40.07","45.68"
"43920","21570945040","2024-11-14","2024-11-14","1","9.11","19.94","40.07","45.68"
"43954","21574999065","2024-11-15","2024-11-15","0","9.11","19.94","40.07","45.68"
"43960","21576328202","2024-11-16","2024-11-16","0","9.11","19.94","40.07","45.68"
"44132","21607516047","2024-11-20","2024-11-20","1","9.11","19.94","40.07","45.68"
"44138","21608793318","2024-11-20","2024-11-20","1","9.11","19.94","40.07","45.68"
"44190","21618096215","2024-11-21","2024-11-21","1","9.11","19.94","40.07","45.68"
"44194","21619348154","2024-11-22","2024-11-22","1","9.11","19.94","40.07","45.68"
"44229","21626581167","2024-11-22","2024-11-22","1","9.11","19.94","40.07","45.68"
"43389","21469548079","2024-11-02","2024-11-02","0","6.95","19.98","40.02","34.76"
"43393","21469678688","2024-11-02","2024-11-02","0","6.95","19.98","40.02","34.76"
"43395","21469835877","2024-11-02","2024-11-02","0","6.95","19.98","40.02","34.76"
"43439","21474689901","2024-11-04","2024-11-04","0","6.95","19.98","40.02","34.76"
"43643","21516298309","2024-11-08","2024-11-08","0","6.95","19.98","40.02","34.76"
"43674","21520123867","2024-11-08","2024-11-08","0","6.95","19.98","40.02","34.76"
"43738","21529930060","2024-11-11","2024-11-11","1","6.95","19.98","40.02","34.76"
"43787","21540398452","2024-11-11","2024-11-11","1","6.95","19.98","40.02","34.76"
"43847","21553770251","2024-11-12","2024-11-12","1","6.95","19.98","40.02","34.76"
"43919","21570869425","2024-11-14","2024-11-14","1","6.95","19.98","40.02","34.76"
"43923","21571020629","2024-11-14","2024-11-14","1","6.95","19.98","40.02","34.76"
"44067","21598803448","2024-11-19","2024-11-19","1","5.60","19.98","41.52","28.01"
"44216","21624317891","2024-11-22","2024-11-22","1","6.95","19.98","40.02","34.76"
"44256","21630294270","2024-11-23","2024-11-23","1","6.95","19.98","40.02","34.76"
"44048","21594399169","2024-11-18","2024-11-18","1","5.60","21.1","38.93","26.54"
"43361","21467438430","2024-11-02","2024-11-02","0","5.60","21.11","38.93","26.52"
"43430","21473563563","2024-11-03","2024-11-03","0","5.60","21.11","38.93","26.52"
"43475","21483382506","2024-11-04","2024-11-04","0","5.60","21.11","38.93","26.52"
"43634","21513386215","2024-11-08","2024-11-08","1","5.60","21.11","38.93","26.52"
"43656","21517646104","2024-11-08","2024-11-08","0","5.60","21.11","38.93","26.52"
"43810","21542762873","2024-11-11","2024-11-11","1","5.60","21.11","38.93","26.52"
"43863","21557314610","2024-11-13","2024-11-13","1","5.60","21.11","38.93","26.52"
